"","CJI1.A.CD1.ET1.1","CJI2.B.CD1.ET2.1","CJI3.I.K5PP3W.ET1.1","CJI4.J.K5PP3W.ET2.1","CJI5.K.K5PP3W.Rap1.1","CJI6.L.K5PP3W.Rap2.1"
"ENSMUSG00000003526",661,496,210,178,181,162
"ENSMUSG00000003527",295,254,352,304,289,252
"ENSMUSG00000003528",731,667,1026,971,596,537
"ENSMUSG00000003531",294,234,175,185,232,194
"ENSMUSG00000003534",2420,2113,3189,3223,2779,2619
"ENSMUSG00000003541",4776,6499,4530,4127,6239,6148
"ENSMUSG00000003545",50212,48989,35074,44197,34329,45860
"ENSMUSG00000003546",424,349,342,390,402,374
"ENSMUSG00000003549",465,551,536,573,340,387
"ENSMUSG00000003555",27,26,5,8,11,16
"ENSMUSG00000003559",120,110,43,68,91,76
"ENSMUSG00000003573",316,279,629,624,501,402
"ENSMUSG00000003575",442,451,493,540,680,439
"ENSMUSG00000003581",290,275,287,304,350,284
"ENSMUSG00000003585",103,53,277,285,83,137
"ENSMUSG00000003604",163,188,160,195,173,144
"ENSMUSG00000003617",24584,10877,5523,6514,8360,8171
"ENSMUSG00000003623",1186,1170,1438,1697,1552,1246
"ENSMUSG00000003644",1507,1173,1739,1528,1140,1279
"ENSMUSG00000003660",6420,6595,5466,4682,4950,4759
"ENSMUSG00000003662",718,659,496,517,653,602
"ENSMUSG00000003665",51,53,24,43,34,51
"ENSMUSG00000003680",476,353,451,510,471,393
"ENSMUSG00000003721",863,710,857,836,848,729
"ENSMUSG00000003731",1490,1385,1931,1720,1664,1431
"ENSMUSG00000003746",7703,8719,3552,4327,5562,6279
"ENSMUSG00000003752",1795,3715,1914,2506,2189,3545
"ENSMUSG00000003762",248,244,385,423,320,277
"ENSMUSG00000003778",1468,1545,1184,1273,1204,1089
"ENSMUSG00000003779",234,320,1212,924,587,390
"ENSMUSG00000003808",442,428,853,726,540,438
"ENSMUSG00000003809",366,373,365,342,290,252
"ENSMUSG00000003810",1286,1309,1753,1581,1642,1474
"ENSMUSG00000003812",276,281,333,424,306,266
"ENSMUSG00000003813",1145,1129,1224,1223,1158,1063
"ENSMUSG00000003814",10319,12882,10210,11050,7498,8353
"ENSMUSG00000003824",51,43,64,51,51,46
"ENSMUSG00000003847",13450,12522,6899,7465,10779,12026
"ENSMUSG00000003848",271,239,308,226,205,150
"ENSMUSG00000003849",62,77,20,23,17,28
"ENSMUSG00000003863",12,11,39,24,11,12
"ENSMUSG00000003865",533,557,766,663,599,458
"ENSMUSG00000003868",694,642,1293,975,797,714
"ENSMUSG00000003873",216,233,337,310,285,214
"ENSMUSG00000003923",623,508,762,623,618,544
"ENSMUSG00000003929",528,411,472,428,577,412
"ENSMUSG00000003934",18,11,6,8,10,16
"ENSMUSG00000003948",1416,974,332,472,541,730
"ENSMUSG00000003949",2181,1881,1182,1264,2037,2104
"ENSMUSG00000003955",425,446,1623,1290,598,599
"ENSMUSG00000003970",6846,6364,7513,6587,7018,7017
"ENSMUSG00000003992",1472,1185,1309,1631,1928,1949
"ENSMUSG00000004018",339,331,404,363,311,236
"ENSMUSG00000004032",205,186,258,280,290,277
"ENSMUSG00000004035",79,77,13,28,20,19
"ENSMUSG00000004038",48,30,5,10,20,15
"ENSMUSG00000004040",4333,5222,5492,4614,4493,5022
"ENSMUSG00000004043",3455,3476,2425,2664,5320,3130
"ENSMUSG00000004044",3917,3194,6070,5073,5467,5031
"ENSMUSG00000004054",824,779,777,796,1029,929
"ENSMUSG00000004056",1384,1338,1225,1192,1321,1122
"ENSMUSG00000004069",873,902,984,922,876,841
"ENSMUSG00000004070",832,757,678,716,720,566
"ENSMUSG00000004071",1313,1103,968,1060,1258,1108
"ENSMUSG00000004085",7304,4865,6977,6229,6552,7731
"ENSMUSG00000004096",992,1010,1207,1129,1197,1082
"ENSMUSG00000004098",82,44,12,15,19,14
"ENSMUSG00000004099",1606,1749,3852,2734,2316,1912
"ENSMUSG00000004100",348,246,357,271,209,189
"ENSMUSG00000004105",252,219,358,456,219,117
"ENSMUSG00000004127",293,269,261,276,223,201
"ENSMUSG00000004151",544,752,114,155,638,614
"ENSMUSG00000004187",173,137,91,173,132,173
"ENSMUSG00000004207",14484,14494,15841,19891,14769,16255
"ENSMUSG00000004221",1290,1154,1514,1490,1222,1102
"ENSMUSG00000004233",276,256,271,285,283,210
"ENSMUSG00000004263",3231,2960,2566,2627,3539,3474
"ENSMUSG00000004264",1576,1449,2490,2012,1666,1467
"ENSMUSG00000004266",287,303,301,308,258,223
"ENSMUSG00000004267",23,27,17,19,16,19
"ENSMUSG00000004268",682,609,960,839,658,678
"ENSMUSG00000004270",820,789,1118,1136,898,797
"ENSMUSG00000004285",460,461,614,751,627,591
"ENSMUSG00000004317",268,340,884,913,356,328
"ENSMUSG00000004319",2590,2713,2975,3396,3226,2800
"ENSMUSG00000004328",29,26,6,14,7,14
"ENSMUSG00000004347",23,22,3,6,6,11
"ENSMUSG00000004356",1482,1764,2960,1920,1580,1429
"ENSMUSG00000004360",252,246,25,34,196,94
"ENSMUSG00000004364",4200,4696,3802,3812,4227,4571
"ENSMUSG00000004371",20,15,11,8,8,14
"ENSMUSG00000004383",353,321,357,411,345,326
"ENSMUSG00000004393",452,408,558,424,386,266
"ENSMUSG00000004394",849,679,540,646,597,498
"ENSMUSG00000004446",208,248,377,252,240,192
"ENSMUSG00000004451",699,756,885,823,687,572
"ENSMUSG00000004455",854,783,1250,1098,1099,923
"ENSMUSG00000004460",800,982,1337,1231,1022,918
"ENSMUSG00000004462",255,261,311,344,258,219
"ENSMUSG00000004473",14,23,9,8,14,5
"ENSMUSG00000004500",314,253,225,257,278,181
"ENSMUSG00000004508",748,714,133,126,397,278
"ENSMUSG00000004530",692,722,2003,1479,995,852
"ENSMUSG00000004535",9830,9735,9851,9803,10738,11498
"ENSMUSG00000004552",42,31,61,117,16,8
"ENSMUSG00000004558",3227,3113,1131,1545,1678,1675
"ENSMUSG00000004561",246,209,296,329,248,214
"ENSMUSG00000004562",1648,1269,1433,1851,1664,1622
"ENSMUSG00000004565",842,646,765,959,859,771
"ENSMUSG00000004567",431,392,425,530,532,396
"ENSMUSG00000004568",3040,2380,1706,1961,2443,2298
"ENSMUSG00000004591",3644,3667,3200,3292,3768,3747
"ENSMUSG00000004609",21,16,35,19,18,9
"ENSMUSG00000004610",696,706,775,738,786,586
"ENSMUSG00000004626",1423,1235,1480,1603,1183,1130
"ENSMUSG00000004630",41,45,53,34,36,24
"ENSMUSG00000004631",237,234,71,114,273,214
"ENSMUSG00000004633",1567,2383,284,383,385,381
"ENSMUSG00000004637",356,285,324,306,363,325
"ENSMUSG00000004642",1106,1127,1328,1125,853,1037
"ENSMUSG00000004655",869,280,74,112,182,107
"ENSMUSG00000004661",296,359,71,158,183,221
"ENSMUSG00000004665",2562,2223,1049,1179,1640,1819
"ENSMUSG00000004667",536,480,551,444,446,352
"ENSMUSG00000004677",1505,1494,1925,1726,1498,1445
"ENSMUSG00000004698",146,261,41,110,49,152
"ENSMUSG00000004730",16,17,32,24,19,6
"ENSMUSG00000004748",16,20,18,27,11,5
"ENSMUSG00000004768",520,388,419,366,492,387
"ENSMUSG00000004771",1715,1574,2580,2384,1865,1582
"ENSMUSG00000004788",388,334,594,505,506,416
"ENSMUSG00000004789",1823,2113,2926,2602,2503,2210
"ENSMUSG00000004791",202,272,80,87,218,185
"ENSMUSG00000004798",1583,1445,981,1051,1575,1451
"ENSMUSG00000004815",555,461,528,596,550,482
"ENSMUSG00000004842",20,18,13,8,10,16
"ENSMUSG00000004843",1750,1561,2049,1876,1647,1656
"ENSMUSG00000004846",577,664,1031,938,794,740
"ENSMUSG00000004849",292,237,581,461,385,284
"ENSMUSG00000004864",540,491,601,498,391,368
"ENSMUSG00000004865",1336,1332,2260,1945,1887,1622
"ENSMUSG00000004880",1274,1207,1821,1447,1345,1141
"ENSMUSG00000004885",10,4,138,80,13,15
"ENSMUSG00000004891",78,66,40,36,36,96
"ENSMUSG00000004895",871,683,881,856,903,724
"ENSMUSG00000004896",589,512,643,595,482,500
"ENSMUSG00000004897",1514,1664,2417,1934,1990,1701
"ENSMUSG00000004902",103,57,16,34,36,59
"ENSMUSG00000004929",279,321,716,506,295,214
"ENSMUSG00000004931",330,271,368,402,385,287
"ENSMUSG00000004933",111,75,35,47,54,66
"ENSMUSG00000004934",424,374,442,386,445,358
"ENSMUSG00000004936",556,537,1009,774,654,467
"ENSMUSG00000004937",1070,895,1297,1142,1048,916
"ENSMUSG00000004939",46,23,5,6,14,27
"ENSMUSG00000004945",349,318,340,355,348,306
"ENSMUSG00000004947",293,331,405,461,450,409
"ENSMUSG00000004951",3244,3619,2736,3510,2681,2945
"ENSMUSG00000004952",98,161,619,691,408,428
"ENSMUSG00000004980",12278,12566,15075,16332,13474,13409
"ENSMUSG00000004988",238,191,444,657,257,216
"ENSMUSG00000004994",228,177,169,186,158,141
"ENSMUSG00000004996",153,127,187,169,143,136
"ENSMUSG00000005034",2591,2408,2464,2608,3169,2919
"ENSMUSG00000005043",512,478,434,533,518,471
"ENSMUSG00000005045",13,16,9,10,17,12
"ENSMUSG00000005054",787,903,1908,1704,972,1134
"ENSMUSG00000005057",70,48,131,87,62,76
"ENSMUSG00000005069",404,377,295,296,329,290
"ENSMUSG00000005078",358,299,410,428,418,335
"ENSMUSG00000005087",3869,4402,11587,9261,5772,6320
"ENSMUSG00000005089",13,22,11,27,9,32
"ENSMUSG00000005102",1682,1336,1063,1294,1148,1319
"ENSMUSG00000005103",4577,4861,6937,6852,5550,5618
"ENSMUSG00000005107",306,272,211,171,243,359
"ENSMUSG00000005124",63,69,70,59,65,146
"ENSMUSG00000005125",4122,3938,1987,1757,2111,4334
"ENSMUSG00000005142",915,648,3391,4080,1230,1429
"ENSMUSG00000005148",1366,2124,4929,5126,2074,3092
"ENSMUSG00000005150",522,505,779,718,575,537
"ENSMUSG00000005161",1421,1311,2486,2145,1739,1458
"ENSMUSG00000005198",4431,5623,4578,3983,4224,4640
"ENSMUSG00000005204",896,959,1051,974,922,829
"ENSMUSG00000005220",37,22,22,22,66,66
"ENSMUSG00000005225",310,371,333,365,432,397
"ENSMUSG00000005233",46,72,255,202,113,69
"ENSMUSG00000005237",38,27,4,8,13,14
"ENSMUSG00000005251",4504,3852,4300,4080,4727,4289
"ENSMUSG00000005262",764,701,968,942,754,810
"ENSMUSG00000005267",156,126,55,76,79,62
"ENSMUSG00000005268",1697,1998,751,1093,463,287
"ENSMUSG00000005299",865,796,1633,1296,1577,1246
"ENSMUSG00000005312",2666,2991,3605,3554,3412,2994
"ENSMUSG00000005320",8,17,7,7,11,11
"ENSMUSG00000005338",32,23,9,7,17,8
"ENSMUSG00000005354",722,787,1025,827,735,640
"ENSMUSG00000005360",923,637,207,268,688,502
"ENSMUSG00000005362",1458,1410,847,876,1084,1070
"ENSMUSG00000005370",1156,1207,2080,1545,1694,1136
"ENSMUSG00000005371",3364,3245,2864,2959,3308,3621
"ENSMUSG00000005373",62,63,17,19,20,21
"ENSMUSG00000005374",411,441,458,342,415,316
"ENSMUSG00000005378",375,329,516,510,417,325
"ENSMUSG00000005397",1122,1057,145,210,192,322
"ENSMUSG00000005410",172,368,1721,1039,536,271
"ENSMUSG00000005413",106,180,258,268,177,566
"ENSMUSG00000005417",11042,11875,7860,9125,9441,10091
"ENSMUSG00000005442",5568,5343,3457,3659,4209,4468
"ENSMUSG00000005447",251,202,275,248,206,201
"ENSMUSG00000005469",953,1018,1168,1142,1110,1019
"ENSMUSG00000005470",10,29,234,134,51,34
"ENSMUSG00000005481",381,362,980,647,329,280
"ENSMUSG00000005483",13839,15776,9127,11856,12131,12303
"ENSMUSG00000005493",25,17,19,10,7,27
"ENSMUSG00000005501",720,719,812,867,830,686
"ENSMUSG00000005505",306,256,343,324,383,229
"ENSMUSG00000005506",2678,2742,4403,3987,3669,3021
"ENSMUSG00000005510",561,511,760,728,527,394
"ENSMUSG00000005514",1279,1854,1626,1508,1268,1105
"ENSMUSG00000005533",10342,7605,2789,2667,5715,5221
"ENSMUSG00000005534",3551,3044,1219,1292,1898,1711
"ENSMUSG00000005566",2920,3038,5077,4300,3705,3064
"ENSMUSG00000005575",717,671,1100,982,1009,766
"ENSMUSG00000005580",332,367,188,215,286,198
"ENSMUSG00000005583",155,87,36,47,55,34
"ENSMUSG00000005609",2671,2399,4381,3782,3712,2916
"ENSMUSG00000005610",26752,27723,31681,30866,29935,30732
"ENSMUSG00000005611",145,83,28,19,37,32
"ENSMUSG00000005615",853,890,824,802,871,736
"ENSMUSG00000005621",1430,1205,1009,1098,1342,1138
"ENSMUSG00000005625",1093,1006,1409,1334,1243,1133
"ENSMUSG00000005628",194,151,46,59,81,89
"ENSMUSG00000005656",1264,1249,1566,1445,1380,1066
"ENSMUSG00000005667",1008,1256,668,819,1264,1173
"ENSMUSG00000005672",57,129,227,61,21,38
"ENSMUSG00000005674",205,203,211,198,204,147
"ENSMUSG00000005677",163,170,173,171,176,124
"ENSMUSG00000005682",782,622,841,842,773,679
"ENSMUSG00000005683",2338,2374,4834,3804,3445,2907
"ENSMUSG00000005686",1115,1110,1538,1361,2518,1131
"ENSMUSG00000005687",948,940,1372,1353,1117,1323
"ENSMUSG00000005698",1871,1744,2257,2241,2330,2024
"ENSMUSG00000005699",31,25,44,32,43,28
"ENSMUSG00000005705",15,9,16,14,11,11
"ENSMUSG00000005718",293,244,199,122,133,117
"ENSMUSG00000005732",836,1027,2456,1620,1122,884
"ENSMUSG00000005763",478,433,353,291,437,463
"ENSMUSG00000005774",804,738,810,947,714,672
"ENSMUSG00000005779",1474,1299,2193,1806,1435,1224
"ENSMUSG00000005800",9,11,20,30,13,11
"ENSMUSG00000005802",1713,1445,2110,1999,1963,1720
"ENSMUSG00000005803",382,437,595,598,202,175
"ENSMUSG00000005804",860,828,860,873,759,636
"ENSMUSG00000005813",844,911,1438,1414,1123,968
"ENSMUSG00000005823",807,831,634,705,647,637
"ENSMUSG00000005846",1517,1527,2574,1902,1557,1322
"ENSMUSG00000005871",5499,5716,5987,5440,5839,6500
"ENSMUSG00000005873",4119,4184,4570,4919,6583,5484
"ENSMUSG00000005881",973,875,997,1051,1009,1064
"ENSMUSG00000005882",344,343,361,288,304,232
"ENSMUSG00000005886",3664,3307,2161,2330,3331,3262
"ENSMUSG00000005893",2810,2448,2595,2708,3020,2762
"ENSMUSG00000005897",1193,1042,878,847,1050,963
"ENSMUSG00000005899",788,779,839,712,656,724
"ENSMUSG00000005907",766,679,561,643,808,656
"ENSMUSG00000005936",888,764,952,883,901,748
"ENSMUSG00000005947",15,12,12,14,7,14
"ENSMUSG00000005949",712,779,448,610,551,512
"ENSMUSG00000005950",29,29,12,31,16,30
"ENSMUSG00000005951",118,149,83,106,103,91
"ENSMUSG00000005958",837,634,1018,1010,842,1150
"ENSMUSG00000005968",5207,4930,1631,2149,2409,2449
"ENSMUSG00000005973",1547,2000,1786,2241,2574,1870
"ENSMUSG00000005980",106,124,83,68,80,85
"ENSMUSG00000005981",1257,1434,1821,1518,1206,1149
"ENSMUSG00000005982",864,935,1138,1133,1182,902
"ENSMUSG00000005983",336,357,454,439,428,357
"ENSMUSG00000005986",120,94,47,61,102,89
"ENSMUSG00000006005",7216,7357,7837,6919,7189,7164
"ENSMUSG00000006010",1019,1082,796,871,794,772
"ENSMUSG00000006014",160,160,161,154,158,150
"ENSMUSG00000006019",356,337,331,342,242,240
"ENSMUSG00000006021",215,178,133,182,171,207
"ENSMUSG00000006024",1883,1695,1651,1840,1611,1429
"ENSMUSG00000006050",988,853,899,971,852,877
"ENSMUSG00000006057",263,265,459,504,311,246
"ENSMUSG00000006058",411,399,354,416,428,403
"ENSMUSG00000006095",378,423,736,634,638,437
"ENSMUSG00000006127",1315,862,631,732,865,899
"ENSMUSG00000006134",1110,965,1203,1048,1258,935
"ENSMUSG00000006154",339,317,411,566,414,409
"ENSMUSG00000006169",4111,4959,4909,5635,3979,3945
"ENSMUSG00000006179",47,31,11,12,27,37
"ENSMUSG00000006191",661,636,465,455,553,566
"ENSMUSG00000006204",3798,10299,1634,3316,1437,2236
"ENSMUSG00000006205",1045,968,1773,2538,1431,1720
"ENSMUSG00000006215",367,279,406,418,370,339
"ENSMUSG00000006219",662,488,604,561,443,426
"ENSMUSG00000006241",68,62,36,38,32,37
"ENSMUSG00000006262",3210,2993,4472,4243,4527,3862
"ENSMUSG00000006269",15,16,3,11,7,8
"ENSMUSG00000006273",957,939,1210,1283,922,639
"ENSMUSG00000006276",1537,1344,1550,1615,1641,1343
"ENSMUSG00000006281",919,867,946,910,820,692
"ENSMUSG00000006288",321,355,309,366,323,285
"ENSMUSG00000006289",333,285,284,321,301,281
"ENSMUSG00000006299",1419,1385,1566,1652,1518,1502
"ENSMUSG00000006301",2870,2247,2313,2448,2350,2211
"ENSMUSG00000006304",4612,5039,6849,6413,6269,5975
"ENSMUSG00000006307",2294,1928,1790,1690,1871,1678
"ENSMUSG00000006313",460,461,81,118,49,101
"ENSMUSG00000006315",382,302,635,542,429,310
"ENSMUSG00000006333",6510,5661,8049,7159,6914,7148
"ENSMUSG00000006335",123,120,144,144,136,133
"ENSMUSG00000006342",123,133,29,30,33,56
"ENSMUSG00000006344",57,46,168,202,61,75
"ENSMUSG00000006345",312,391,380,440,685,575
"ENSMUSG00000006356",1246,965,1722,2040,1231,1114
"ENSMUSG00000006360",117,80,81,76,61,25
"ENSMUSG00000006362",93,49,7,8,23,16
"ENSMUSG00000006369",296,589,2557,1591,2238,1320
"ENSMUSG00000006373",2099,2101,1324,1496,1595,1694
"ENSMUSG00000006378",145,186,216,165,79,78
"ENSMUSG00000006386",129,106,22,30,29,27
"ENSMUSG00000006390",736,664,1046,852,691,586
"ENSMUSG00000006392",205,186,342,321,287,211
"ENSMUSG00000006395",282,221,95,117,153,149
"ENSMUSG00000006398",29,55,498,390,170,83
"ENSMUSG00000006403",69,76,21,22,23,32
"ENSMUSG00000006411",93,100,235,155,34,37
"ENSMUSG00000006412",326,300,457,393,358,319
"ENSMUSG00000006418",1364,1284,1861,1496,1503,1060
"ENSMUSG00000006423",1039,1037,970,924,1054,942
"ENSMUSG00000006435",23,18,53,50,28,31
"ENSMUSG00000006442",265,411,946,628,302,197
"ENSMUSG00000006445",4522,5361,3707,4051,3517,6667
"ENSMUSG00000006456",678,691,1203,1158,886,601
"ENSMUSG00000006462",146,170,34,42,72,133
"ENSMUSG00000006463",135,183,92,104,121,96
"ENSMUSG00000006464",328,285,174,215,332,242
"ENSMUSG00000006471",710,654,759,708,590,519
"ENSMUSG00000006476",849,691,508,714,678,774
"ENSMUSG00000006494",1320,1434,1934,1608,928,1186
"ENSMUSG00000006498",7953,7901,10764,9889,8402,8359
"ENSMUSG00000006517",37,58,93,59,30,35
"ENSMUSG00000006519",69,43,71,47,29,30
"ENSMUSG00000006526",334,243,293,320,367,284
"ENSMUSG00000006527",733,747,921,778,915,855
"ENSMUSG00000006538",18,15,4,11,4,5
"ENSMUSG00000006542",9,6,21,16,7,14
"ENSMUSG00000006567",13,8,32,19,15,9
"ENSMUSG00000006570",46,38,18,46,33,57
"ENSMUSG00000006575",86,94,44,43,49,43
"ENSMUSG00000006576",278,194,173,243,226,219
"ENSMUSG00000006585",172,246,611,353,242,179
"ENSMUSG00000006589",403,336,545,389,324,269
"ENSMUSG00000006599",891,899,1069,991,808,755
"ENSMUSG00000006611",131,101,189,253,169,146
"ENSMUSG00000006638",409,364,176,204,250,219
"ENSMUSG00000006641",520,498,328,348,492,352
"ENSMUSG00000006649",21,23,44,43,25,31
"ENSMUSG00000006651",71,54,20,28,55,66
"ENSMUSG00000006673",3233,3154,3176,3171,3137,3121
"ENSMUSG00000006675",84,69,10,14,23,24
"ENSMUSG00000006676",3233,3201,2935,3143,3340,2887
"ENSMUSG00000006678",520,685,1402,943,774,681
"ENSMUSG00000006699",6169,6549,8608,8302,7663,6910
"ENSMUSG00000006705",815,755,677,643,834,663
"ENSMUSG00000006715",47,59,180,85,69,50
"ENSMUSG00000006717",222,261,244,264,232,282
"ENSMUSG00000006720",101,95,71,63,40,44
"ENSMUSG00000006724",14,12,14,6,2,2
"ENSMUSG00000006728",1592,1699,3605,3089,1984,1621
"ENSMUSG00000006731",1446,1305,2166,1920,1318,1420
"ENSMUSG00000006732",204,249,306,224,137,134
"ENSMUSG00000006736",981,1010,1373,1451,1170,951
"ENSMUSG00000006740",6903,7050,10808,10110,8867,7822
"ENSMUSG00000006763",250,233,320,265,236,182
"ENSMUSG00000006777",194,109,118,252,85,91
"ENSMUSG00000006782",676,605,883,774,766,697
"ENSMUSG00000006784",10,17,4,7,10,5
"ENSMUSG00000006800",182,207,609,243,111,143
"ENSMUSG00000006818",1208,1404,1780,1134,1469,1111
"ENSMUSG00000006850",211,173,176,174,109,104
"ENSMUSG00000006906",639,631,465,524,529,474
"ENSMUSG00000006920",1762,1484,998,1043,1292,1093
"ENSMUSG00000006930",201,212,139,125,56,115
"ENSMUSG00000006931",369,254,328,328,398,343
"ENSMUSG00000006932",14359,14416,21115,19833,15358,14172
"ENSMUSG00000006941",295,217,255,261,319,208
"ENSMUSG00000006958",25,35,27,52,13,14
"ENSMUSG00000006998",2135,2363,4598,3912,3061,2685
"ENSMUSG00000007029",880,873,1682,1222,1036,694
"ENSMUSG00000007030",364,358,322,455,435,442
"ENSMUSG00000007033",23,25,26,38,29,28
"ENSMUSG00000007034",107,133,74,87,37,16
"ENSMUSG00000007035",67,53,55,101,41,40
"ENSMUSG00000007036",660,533,453,447,440,431
"ENSMUSG00000007038",265,303,286,341,240,207
"ENSMUSG00000007039",164,147,150,186,135,139
"ENSMUSG00000007041",1013,995,3094,2427,1603,1490
"ENSMUSG00000007050",182,168,420,351,254,191
"ENSMUSG00000007080",145,246,1039,606,346,239
"ENSMUSG00000007097",97,96,10,11,40,30
"ENSMUSG00000007122",38,25,2,22,25,27
"ENSMUSG00000007207",92,53,84,89,77,73
"ENSMUSG00000007216",140,104,48,73,72,57
"ENSMUSG00000007279",228,66,9,32,41,75
"ENSMUSG00000007338",451,405,466,416,446,307
"ENSMUSG00000007379",551,750,1138,1171,685,1987
"ENSMUSG00000007411",1599,1444,1841,1932,1765,1553
"ENSMUSG00000007415",1539,1519,1557,1440,1815,1495
"ENSMUSG00000007440",19,17,16,59,26,43
"ENSMUSG00000007458",2545,2556,3397,3051,2509,2337
"ENSMUSG00000007476",1584,1664,1236,1416,1489,1105
"ENSMUSG00000007564",3934,3939,4370,4194,3877,3449
"ENSMUSG00000007570",327,261,290,248,226,211
"ENSMUSG00000007589",299,277,287,277,272,224
"ENSMUSG00000007603",415,337,382,431,390,341
"ENSMUSG00000007610",199,166,231,202,178,168
"ENSMUSG00000007613",1906,2085,1821,1847,1996,2307
"ENSMUSG00000007617",1571,2806,1135,1472,1542,5020
"ENSMUSG00000007646",43,57,70,80,81,44
"ENSMUSG00000007655",2987,2586,3445,4157,5256,4859
"ENSMUSG00000007656",1630,1683,2633,2243,2182,1715
"ENSMUSG00000007659",1803,1249,839,864,1085,945
"ENSMUSG00000007670",2563,2540,3267,2876,2965,2631
"ENSMUSG00000007682",90,92,162,190,282,125
"ENSMUSG00000007721",235,258,419,359,417,368
"ENSMUSG00000007739",4371,4137,6663,5841,5386,4757
"ENSMUSG00000007777",157,159,264,220,258,178
"ENSMUSG00000007783",161,119,41,55,53,56
"ENSMUSG00000007805",524,512,118,122,237,307
"ENSMUSG00000007812",2186,3000,1713,2008,1681,2079
"ENSMUSG00000007815",7715,7963,9744,9338,9150,8072
"ENSMUSG00000007817",8337,7680,11546,12104,8970,10886
"ENSMUSG00000007827",438,471,515,414,495,508
"ENSMUSG00000007833",462,403,626,505,453,387
"ENSMUSG00000007836",3841,3547,4963,4280,4410,4070
"ENSMUSG00000007837",319,284,309,314,300,306
"ENSMUSG00000007850",8363,7954,8913,11041,7901,8928
"ENSMUSG00000007867",484,428,390,418,421,380
"ENSMUSG00000007872",4233,3281,1386,1619,2421,3374
"ENSMUSG00000007880",7019,6417,5715,5722,6946,6715
"ENSMUSG00000007888",12,2,13,8,17,27
"ENSMUSG00000007891",8087,8358,7249,9530,8110,8045
"ENSMUSG00000007892",4289,4733,4820,4326,4497,4316
"ENSMUSG00000007908",73,77,194,182,174,147
"ENSMUSG00000007944",25,16,6,7,15,16
"ENSMUSG00000007946",48,32,19,31,31,35
"ENSMUSG00000007950",166,141,155,178,206,153
"ENSMUSG00000007987",137,168,157,157,148,133
"ENSMUSG00000007989",299,311,214,243,240,205
"ENSMUSG00000008035",792,646,527,591,748,566
"ENSMUSG00000008036",441,369,737,656,612,467
"ENSMUSG00000008090",221,155,203,246,246,259
"ENSMUSG00000008129",25,22,18,14,8,9
"ENSMUSG00000008136",809,1147,1380,1779,985,1929
"ENSMUSG00000008140",911,736,1139,1143,974,814
"ENSMUSG00000008167",446,344,567,440,404,338
"ENSMUSG00000008200",1912,1578,1713,1608,1333,1628
"ENSMUSG00000008206",864,653,150,211,257,319
"ENSMUSG00000008226",431,599,364,446,444,367
"ENSMUSG00000008301",585,551,664,504,597,492
"ENSMUSG00000008305",1978,1798,2144,2655,2399,1848
"ENSMUSG00000008307",153,174,55,110,107,112
"ENSMUSG00000008318",75,58,62,53,58,79
"ENSMUSG00000008333",437,463,797,590,635,550
"ENSMUSG00000008348",4875,4336,1873,2203,1461,1752
"ENSMUSG00000008373",465,463,784,574,448,421
